Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Sample Purge Flow,Balance Purge Flow, 
1.233333,4.458490,0.000000,39.870000,38.770000,0.000000,0.100000, 
1.250000,4.458490,0.000000,40.210000,39.050000,0.000000,0.100000, 
1.266667,4.458526,0.000000,40.540000,39.330000,0.000000,0.100000, 
1.283333,4.458526,0.000000,40.870000,39.600000,0.000000,0.100000, 
1.300000,4.458490,0.000000,41.210000,39.880000,0.000000,0.100000, 
1.316667,4.458419,0.000000,41.540000,40.170000,0.000000,0.100000, 
1.333333,4.458384,0.000000,41.870000,40.460000,0.000000,0.100000, 
1.350000,4.458277,0.000000,42.210000,40.760000,0.000000,0.100000, 
1.366667,4.458207,0.000000,42.540000,41.050000,0.000000,0.100000, 
1.383333,4.458100,0.000000,42.870000,41.340000,0.000000,0.100000, 
1.400000,4.457994,0.000000,43.210000,41.640000,0.000000,0.100000, 
1.416667,4.457887,0.000000,43.540000,41.920000,0.000000,0.100000, 
1.433333,4.457745,0.000000,43.870000,42.210000,0.000000,0.100000, 
1.450000,4.457639,0.000000,44.210000,42.500000,0.000000,0.100000, 
1.466667,4.457497,0.000000,44.540000,42.800000,0.000000,0.100000, 
1.483333,4.457390,0.000000,44.870000,43.110000,0.000000,0.100000, 
1.500000,4.457248,0.000000,45.210000,43.420000,0.000000,0.100000, 
1.516667,4.457106,0.000000,45.540000,43.730000,0.000000,0.100000, 
1.533333,4.456964,0.000000,45.870000,44.030000,0.000000,0.100000, 
1.550000,4.456822,0.000000,46.210000,44.330000,0.000000,0.100000, 
1.566667,4.456680,0.000000,46.540000,44.630000,0.000000,0.100000, 
1.583333,4.456538,0.000000,46.870000,44.920000,0.000000,0.100000, 
1.600000,4.456396,0.000000,47.210000,45.230000,0.000000,0.100000, 
1.616667,4.456219,0.000000,47.540000,45.540000,0.000000,0.100000, 
1.633333,4.456077,0.000000,47.870000,45.860000,0.000000,0.100000, 
1.650000,4.455900,0.000000,48.210000,46.180000,0.000000,0.100000, 
1.666667,4.455722,0.000000,48.540000,46.500000,0.000000,0.100000, 
1.683333,4.455545,0.000000,48.870000,46.810000,0.000000,0.100000, 
1.700000,4.455367,0.000000,49.210000,47.110000,0.000000,0.100000, 
1.716667,4.455190,0.000000,49.540000,47.410000,0.000000,0.100000, 
1.733333,4.455048,0.000000,49.870000,47.720000,0.000000,0.100000, 
1.750000,4.454870,0.000000,50.210000,48.040000,0.000000,0.100000, 
1.766667,4.454728,0.000000,50.540000,48.370000,0.000000,0.100000, 
1.783333,4.454551,0.000000,50.870000,48.700000,0.000000,0.100000, 
1.800000,4.454409,0.000000,51.210000,49.020000,0.000000,0.100000, 
1.816667,4.454231,0.000000,51.540000,49.340000,0.000000,0.100000, 
1.833333,4.454089,0.000000,51.870000,49.650000,0.000000,0.100000, 
1.850000,4.453948,0.000000,52.210000,49.960000,0.000000,0.100000, 
1.866667,4.453806,0.000000,52.540000,50.260000,0.000000,0.100000, 
1.883333,4.453628,0.000000,52.870000,50.580000,0.000000,0.100000, 
1.900000,4.453486,0.000000,53.210000,50.910000,0.000000,0.100000, 
1.916667,4.453344,0.000000,53.540000,51.250000,0.000000,0.100000, 
1.933333,4.453167,0.000000,53.870000,51.590000,0.000000,0.100000, 
1.950000,4.453025,0.000000,54.210000,51.910000,0.000000,0.100000, 
1.966667,4.452918,0.000000,54.540000,52.220000,0.000000,0.100000, 
1.983333,4.452776,0.000000,54.870000,52.540000,0.000000,0.100000, 
2.000000,4.452670,0.000000,55.210000,52.850000,0.000000,0.100000, 
2.016667,4.452528,0.000000,55.540000,53.170000,0.000000,0.100000, 
2.033333,4.452421,0.000000,55.870000,53.500000,0.000000,0.100000, 
2.050000,4.452315,0.000000,56.210000,53.840000,0.000000,0.100000, 
2.066667,4.452208,0.000000,56.540000,54.190000,0.000000,0.100000, 
2.083333,4.452102,0.000000,56.870000,54.520000,0.000000,0.100000, 
2.100000,4.451995,0.000000,57.210000,54.830000,0.000000,0.100000, 
2.116667,4.451889,0.000000,57.540000,55.140000,0.000000,0.100000, 
2.133333,4.451783,0.000000,57.870000,55.460000,0.000000,0.100000, 
2.150000,4.451676,0.000000,58.210000,55.770000,0.000000,0.100000, 
2.166667,4.451605,0.000000,58.540000,56.110000,0.000000,0.100000, 
2.183333,4.451499,0.000000,58.870000,56.460000,0.000000,0.100000, 
2.200000,4.451392,0.000000,59.210000,56.810000,0.000000,0.100000, 
2.216667,4.451286,0.000000,59.540000,57.150000,0.000000,0.100000, 
2.233333,4.451215,0.000000,59.870000,57.470000,0.000000,0.100000, 
2.250000,4.451108,0.000000,60.210000,57.790000,0.000000,0.100000, 
2.266667,4.451037,0.000000,60.540000,58.100000,0.000000,0.100000, 
2.283333,4.450966,0.000000,60.870000,58.400000,0.000000,0.100000, 
2.300000,4.450860,0.000000,61.210000,58.730000,0.000000,0.100000, 
2.316667,4.450789,0.000000,61.540000,59.090000,0.000000,0.100000, 
2.333333,4.450682,0.000000,61.870000,59.440000,0.000000,0.100000, 
2.350000,4.450611,0.000000,62.210000,59.800000,0.000000,0.100000, 
2.366667,4.450540,0.000000,62.540000,60.130000,0.000000,0.100000, 
2.383333,4.450469,0.000000,62.870000,60.450000,0.000000,0.100000, 
2.400000,4.450363,0.000000,63.210000,60.750000,0.000000,0.100000, 
2.416667,4.450256,0.000000,63.540000,61.050000,0.000000,0.100000, 
2.433333,4.450185,0.000000,63.870000,61.370000,0.000000,0.100000, 
2.450000,4.450079,0.000000,64.210000,61.730000,0.000000,0.100000, 
2.466667,4.449972,0.000000,64.540000,62.100000,0.000000,0.100000, 
2.483333,4.449901,0.000000,64.870000,62.450000,0.000000,0.100000, 
2.500000,4.449795,0.000000,65.210000,62.790000,0.000000,0.100000, 
2.516667,4.449724,0.000000,65.540000,63.120000,0.000000,0.100000, 
2.533333,4.449653,0.000000,65.870000,63.410000,0.000000,0.100000, 
2.550000,4.449582,0.000000,66.210000,63.720000,0.000000,0.100000, 
2.566667,4.449511,0.000000,66.540000,64.030000,0.000000,0.100000, 
2.583333,4.449440,0.000000,66.870000,64.380000,0.000000,0.100000, 
2.600000,4.449369,0.000000,67.210000,64.750000,0.000000,0.100000, 
2.616667,4.449298,0.000000,67.540000,65.110000,0.000000,0.100000, 
2.633333,4.449227,0.000000,67.870000,65.460000,0.000000,0.100000, 
2.650000,4.449156,0.000000,68.210000,65.790000,0.000000,0.100000, 
2.666667,4.449085,0.000000,68.540000,66.090000,0.000000,0.100000, 
2.683333,4.448979,0.000000,68.870000,66.390000,0.000000,0.100000, 
2.700000,4.448908,0.000000,69.210000,66.700000,0.000000,0.100000, 
2.716667,4.448837,0.000000,69.540000,67.050000,0.000000,0.100000, 
2.733333,4.448766,0.000000,69.870000,67.410000,0.000000,0.100000, 
2.750000,4.448695,0.000000,70.210000,67.790000,0.000000,0.100000, 
2.766667,4.448624,0.000000,70.540000,68.140000,0.000000,0.100000, 
2.783333,4.448553,0.000000,70.870000,68.470000,0.000000,0.100000, 
2.800000,4.448482,0.000000,71.210000,68.770000,0.000000,0.100000, 
2.816667,4.448411,0.000000,71.540000,69.060000,0.000000,0.100000, 
2.833333,4.448340,0.000000,71.870000,69.380000,0.000000,0.100000, 
2.850000,4.448269,0.000000,72.210000,69.720000,0.000000,0.100000, 
2.866667,4.448198,0.000000,72.540000,70.090000,0.000000,0.100000, 
2.883333,4.448162,0.000000,72.870000,70.460000,0.000000,0.100000, 
2.900000,4.448091,0.000000,73.210000,70.820000,0.000000,0.100000, 
2.916667,4.448020,0.000000,73.540000,71.150000,0.000000,0.100000, 
2.933333,4.447949,0.000000,73.870000,71.450000,0.000000,0.100000, 
2.950000,4.447878,0.000000,74.210000,71.750000,0.000000,0.100000, 
2.966667,4.447843,0.000000,74.540000,72.060000,0.000000,0.100000, 
2.983333,4.447772,0.000000,74.870000,72.400000,0.000000,0.100000, 
3.000000,4.447701,0.000000,75.210000,72.760000,0.000000,0.100000, 
3.016667,4.447630,0.000000,75.540000,73.140000,0.000000,0.100000, 
3.033333,4.447559,0.000000,75.870000,73.500000,0.000000,0.100000, 
3.050000,4.447524,0.000000,76.210000,73.830000,0.000000,0.100000, 
3.066667,4.447453,0.000000,76.540000,74.140000,0.000000,0.100000, 
3.083333,4.447417,0.000000,76.870000,74.430000,0.000000,0.100000, 
3.100000,4.447346,0.000000,77.210000,74.740000,0.000000,0.100000, 
3.116667,4.447311,0.000000,77.540000,75.070000,0.000000,0.100000, 
3.133333,4.447240,0.000000,77.870000,75.440000,0.000000,0.100000, 
3.150000,4.447204,0.000000,78.210000,75.820000,0.000000,0.100000, 
3.166667,4.447169,0.000000,78.540000,76.190000,0.000000,0.100000, 
3.183333,4.447133,0.000000,78.870000,76.510000,0.000000,0.100000, 
3.200000,4.447098,0.000000,79.210000,76.820000,0.000000,0.100000, 
3.216667,4.447062,0.000000,79.540000,77.120000,0.000000,0.100000, 
3.233333,4.447062,0.000000,79.870000,77.430000,0.000000,0.100000, 
3.250000,4.447027,0.000000,80.210000,77.760000,0.000000,0.100000, 
3.266667,4.446991,0.000000,80.540000,78.130000,0.000000,0.100000, 
3.283333,4.446956,0.000000,80.870000,78.510000,0.000000,0.100000, 
3.300000,4.446920,0.000000,81.210000,78.870000,0.000000,0.100000, 
3.316667,4.446885,0.000000,81.540000,79.200000,0.000000,0.100000, 
3.333333,4.446849,0.000000,81.870000,79.510000,0.000000,0.100000, 
3.350000,4.446849,0.000000,82.210000,79.800000,0.000000,0.100000, 
3.366667,4.446814,0.000000,82.540000,80.120000,0.000000,0.100000, 
3.383333,4.446778,0.000000,82.870000,80.460000,0.000000,0.100000, 
3.400000,4.446743,0.000000,83.210000,80.820000,0.000000,0.100000, 
3.416667,4.446707,0.000000,83.540000,81.190000,0.000000,0.100000, 
3.433333,4.446707,0.000000,83.870000,81.550000,0.000000,0.100000, 
3.450000,4.446672,0.000000,84.210000,81.890000,0.000000,0.100000, 
3.466667,4.446636,0.000000,84.540000,82.190000,0.000000,0.100000, 
3.483333,4.446601,0.000000,84.870000,82.480000,0.000000,0.100000, 
3.500000,4.446601,0.000000,85.210000,82.810000,0.000000,0.100000, 
3.516667,4.446565,0.000000,85.540000,83.150000,0.000000,0.100000, 
3.533333,4.446530,0.000000,85.870000,83.510000,0.000000,0.100000, 
3.550000,4.446494,0.000000,86.210000,83.880000,0.000000,0.100000, 
3.566667,4.446459,0.000000,86.540000,84.220000,0.000000,0.100000, 
3.583333,4.446423,0.000000,86.870000,84.560000,0.000000,0.100000, 
3.600000,4.446388,0.000000,87.210000,84.870000,0.000000,0.100000, 
3.616667,4.446352,0.000000,87.540000,85.190000,0.000000,0.100000, 
3.633333,4.446352,0.000000,87.870000,85.500000,0.000000,0.100000, 
3.650000,4.446317,0.000000,88.210000,85.840000,0.000000,0.100000, 
3.666667,4.446281,0.000000,88.540000,86.200000,0.000000,0.100000, 
3.683333,4.446246,0.000000,88.880000,86.560000,0.000000,0.100000, 
3.700000,4.446210,0.000000,89.210000,86.910000,0.000000,0.100000, 
3.716667,4.446175,0.000000,89.540000,87.240000,0.000000,0.100000, 
3.733333,4.446139,0.000000,89.870000,87.560000,0.000000,0.100000, 
3.750000,4.446104,0.000000,90.210000,87.870000,0.000000,0.100000, 
3.766667,4.446068,0.000000,90.540000,88.190000,0.000000,0.100000, 
3.783333,4.446068,0.000000,90.880000,88.530000,0.000000,0.100000, 
3.800000,4.446033,0.000000,91.210000,88.890000,0.000000,0.100000, 
3.816667,4.446033,0.000000,91.540000,89.250000,0.000000,0.100000, 
