Storage Modulus (MPa),,,,,,,Loss Modulus (MPa),,,,,,,Tan Delta,,,,,
PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,
Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),,Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta
,,125.807,882.407,112.489,1889.61,,,,125.807,145.358,112.489,131.086,,,,125.807,0.16473,112.489,0.06937
,,126.11,869.488,112.725,1877.3,,,,126.11,143.378,112.725,133.503,,,,126.11,0.1649,112.725,0.07111
,,126.408,856.954,112.995,1863.4,,,,126.408,141.496,112.995,136.344,,,,126.408,0.16512,112.995,0.07317
,,126.703,844.697,113.222,1850.42,,,,126.703,139.708,113.222,138.76,,,,126.703,0.16539,113.222,0.07499
,,127.007,833.164,113.5,1835.8,,,,127.007,138.053,113.5,141.497,,,,127.007,0.1657,113.5,0.07708
,,127.307,822.196,113.802,1818.91,,,,127.307,136.51,113.802,144.449,,,,127.307,0.16603,113.802,0.07942
,,127.617,811.821,114.036,1804.6,,,,127.617,135.028,114.036,146.608,,,,127.617,0.16633,114.036,0.08124
,,127.919,801.89,114.304,1789.08,,,,127.919,133.618,114.304,149.174,,,,127.919,0.16663,114.304,0.08338
,,128.228,792.605,114.542,1774.84,,,,128.228,132.284,114.542,151.354,,,,128.228,0.1669,114.542,0.08528
,,128.531,783.395,114.807,1758.96,,,,128.531,131.029,114.807,153.813,,,,128.531,0.16726,114.807,0.08745
,,128.839,774.273,115.108,1740.86,,,,128.839,129.955,115.108,156.414,,,,128.839,0.16784,115.108,0.08985
,,129.151,764.738,115.34,1725.55,,,,129.151,128.964,115.34,158.213,,,,129.151,0.16864,115.34,0.09169
,,129.452,755.224,115.61,1708.62,,,,129.452,128.1,115.61,160.297,,,,129.452,0.16962,115.61,0.09382
,,129.75,745.367,115.846,1692.95,,,,129.75,127.25,115.846,161.912,,,,129.75,0.17072,115.846,0.09564
,,130.053,735.74,116.112,1675.64,,,,130.053,126.511,116.112,163.722,,,,130.053,0.17195,116.112,0.09771
,,130.352,726.253,116.409,1656.2,,,,130.352,125.846,116.409,165.538,,,,130.352,0.17328,116.409,0.09995
,,130.645,716.825,116.646,1640.28,,,,130.645,125.246,116.646,166.79,,,,130.645,0.17472,116.646,0.10168
,,130.944,706.989,116.913,1623.02,,,,130.944,124.649,116.913,168.267,,,,130.944,0.17631,116.913,0.10368
,,131.238,697.309,117.147,1607.4,,,,131.238,124.194,117.147,169.431,,,,131.238,0.17811,117.147,0.10541
,,131.53,687.343,117.417,1590.75,,,,131.53,123.817,117.417,170.764,,,,131.53,0.18014,117.417,0.10735
,,131.829,677.166,117.718,1573.27,,,,131.829,123.523,117.718,172.173,,,,131.829,0.18241,117.718,0.10944
,,132.129,666.675,117.952,1559.38,,,,132.129,123.331,117.952,173.079,,,,132.129,0.18499,117.952,0.11099
,,132.431,656.404,118.222,1544.31,,,,132.431,123.286,118.222,174.063,,,,132.431,0.18782,118.222,0.11271
,,132.74,645.9,118.455,1530.46,,,,132.74,123.349,118.455,174.728,,,,132.74,0.19097,118.455,0.11417
,,133.043,635.156,118.759,1513.06,,,,133.043,123.438,118.759,175.509,,,,133.043,0.19434,118.759,0.116
,,133.358,624.121,119.029,1496.48,,,,133.358,123.621,119.029,175.956,,,,133.358,0.19807,119.029,0.11758
,,133.663,612.936,119.265,1481.52,,,,133.663,123.876,119.265,176.19,,,,133.663,0.2021,119.265,0.11893
,,133.982,601.403,119.537,1465.1,,,,133.982,124.248,119.537,176.382,,,,133.982,0.2066,119.537,0.12039
,,134.296,589.882,119.773,1449.87,,,,134.296,124.753,119.773,176.318,,,,134.296,0.21149,119.773,0.12161
,,134.607,578.671,120.075,1431.69,,,,134.607,125.559,120.075,176.28,,,,134.607,0.21698,120.075,0.12313
,,134.912,567.424,120.34,1415.33,,,,134.912,126.522,120.34,176.092,,,,134.912,0.22298,120.34,0.12442
,,135.215,555.973,120.576,1400.94,,,,135.215,127.649,120.576,175.835,,,,135.215,0.2296,120.576,0.12551
,,135.516,544.348,120.848,1385.45,,,,135.516,128.944,120.848,175.515,,,,135.516,0.23688,120.848,0.12668
,,135.818,532.449,121.081,1371.57,,,,135.818,130.333,121.081,175.082,,,,135.818,0.24478,121.081,0.12765
,,136.123,520.385,121.386,1354.6,,,,136.123,131.899,121.386,174.478,,,,136.123,0.25347,121.386,0.1288
,,136.419,508.164,121.651,1338.84,,,,136.419,133.526,121.651,173.755,,,,136.419,0.26276,121.651,0.12978
,,136.721,495.738,121.887,1324.83,,,,136.721,135.231,121.887,173.027,,,,136.721,0.27279,121.887,0.1306
,,137.014,483.056,122.159,1309.51,,,,137.014,137.078,122.159,172.213,,,,137.014,0.28377,122.159,0.13151
,,137.313,469.782,122.395,1295.39,,,,137.313,138.956,122.395,171.312,,,,137.313,0.29579,122.395,0.13225
,,137.609,455.916,122.667,1279.72,,,,137.609,140.868,122.667,170.249,,,,137.609,0.30898,122.667,0.13303
,,137.912,441.635,122.908,1265.39,,,,137.912,142.755,122.908,169.144,,,,137.912,0.32324,122.908,0.13367
,,138.217,427.03,123.21,1248.4,,,,138.217,144.606,123.21,167.841,,,,138.217,0.33863,123.21,0.13445
,,138.515,411.732,123.478,1233.04,,,,138.515,146.278,123.478,166.571,,,,138.515,0.35527,123.478,0.13509
,,138.808,395.721,123.712,1220.05,,,,138.808,147.709,123.712,165.476,,,,138.808,0.37327,123.712,0.13563
,,139.106,379.19,123.992,1206.29,,,,139.106,149.055,123.992,164.326,,,,139.106,0.39309,123.992,0.13623
,,139.4,362.284,124.227,1193.92,,,,139.4,150.221,124.227,163.225,,,,139.4,0.41465,124.227,0.13671
,,139.695,345.255,124.5,1180.37,,,,139.695,151.212,124.5,161.989,,,,139.695,0.43797,124.5,0.13724
,,139.989,328.375,124.805,1165.76,,,,139.989,152.026,124.805,160.634,,,,139.989,0.46297,124.805,0.13779
,,140.284,311.406,125.041,1153.88,,,,140.284,152.641,125.041,159.446,,,,140.284,0.49017,125.041,0.13818
,,140.582,294.081,125.31,1141.33,,,,140.582,152.761,125.31,158.183,,,,140.582,0.51945,125.31,0.1386
,,140.885,276.372,125.549,1130.01,,,,140.885,152.307,125.549,156.964,,,,140.885,0.5511,125.549,0.13891
,,141.188,258.629,125.824,1117.8,,,,141.188,151.264,125.824,155.634,,,,141.188,0.58487,125.824,0.13923
,,141.496,240.745,126.128,1104.91,,,,141.496,149.468,126.128,154.204,,,,141.496,0.62085,126.128,0.13956
,,141.799,223.018,126.37,1094.62,,,,141.799,146.896,126.37,153.036,,,,141.799,0.65868,126.37,0.13981
,,142.101,205.555,126.645,1083.7,,,,142.101,143.548,126.645,151.802,,,,142.101,0.69834,126.645,0.14008
,,142.411,188.472,126.878,1074.1,,,,142.411,139.418,126.878,150.684,,,,142.411,0.73973,126.878,0.14029
,,142.72,171.907,127.152,1063.42,,,,142.72,134.549,127.152,149.405,,,,142.72,0.78269,127.152,0.1405
,,143.02,156.193,127.391,1053.73,,,,143.02,129.086,127.391,148.175,,,,143.02,0.82645,127.391,0.14062
